鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中山區,房地(土地+建物),台北市中山區中山北路一段53巷26號9樓之1,16.76,商,,,1011101,土地1建物1車位0,九層,10,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0971030,109.69,2,1,1,有,有,有,35000,319,,0.0,0,,RPUNMLLJJIHFFCA07CC
內湖區,建物,台北市內湖區內湖路三段3號1樓,608.0,,,,1011101,土地0建物1車位0,一層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0840125,40.74,0,0,0,無,無,無,31000,761,,0.0,0,,RPUOMLLJJIHFFCA17CC
內湖區,建物,台北市內湖區成功路三段87之1號二樓B室,0.0,商,,,1011005,土地0建物0車位0,二層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0720610,37.13,1,0,1,有,有,有,10500,283,,0.0,0,,RPOPMLLJJIHFFCA66CC
大同區,房地(土地+建物),台北市大同區涼州街2號14樓之3,25.18,商,,,1011010,土地1建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000318,193.52,4,1,1,有,有,無,40000,207,,0.0,0,,RPSNMLLJJIHFFBA76CC
中正區,建物,台北市中正區衡陽路36號8樓,0.0,商,,,1011016,土地0建物1車位0,八層,13,辦公商業大樓,商業用,鋼筋混凝土造,0830407,116.81,2,1,1,有,有,有,40000,342,,0.0,0,,RPOOMLLJJIHFFBA09CC
信義區,建物,台北市信義區信義路五段150號404號4樓,0.0,住,,,1011031,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,加強磚造,0581015,47.73,2,1,1,有,無,有,11000,230,,0.0,0,,RPSPMLLJJIHFFDA17CC
信義區,建物,台北市信義區信義路四段379號4樓、5樓及381號5樓及385號2樓、3樓、4樓、5樓,0.0,其他,,,1011011,土地0建物7車位0,見其他登記事項,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,619.2,0,0,0,無,無,無,185000,299,,0.0,0,,RPQSMLLJJIHFFDA27CC
士林區,建物,台北市士林區中山北路6段766號,167.0,住,,,1011031,土地0建物1車位0,全,2,透天厝,住商用,加強磚造,0540907,211.08,0,0,0,無,無,無,155000,734,,0.0,0,,RPXNMLLJJIHFFEA57CC
大安區,建物,台北市大安區安和路一段90巷4號,0.0,其他,,,1011025,土地0建物1車位0,一層,6,店面(店鋪),,鋼筋混凝土造,,165.25,0,0,0,無,無,無,77778,471,,0.0,0,,RPRNMLLJJIHFFFA07CC
大安區,房地(土地+建物),台北市大安區忠孝東路四段303號4樓,11.02,商,,,1011201,土地3建物1車位0,四層,12,辦公商業大樓,商業用,鋼筋混凝土造,,142.39,0,0,0,無,有,無,50000,351,,0.0,0,,RPPOMLLJJIHFFFA96CC
大安區,建物,台北市大安區仁愛路三段53之5號25樓,0.0,住,,,1010816,土地0建物1車位2,二十五層,28,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0941005,497.72,5,2,5,有,有,有,330000,663,坡道平面,0.0,0,,RPVOMLLJJIHFFFA57CC
