"Director.Name","Birthday","Birthplace","Highest.Rated","Lowest.Rated","title","year","tomatometer","audience_score","box_office","credits","category","category01"
"Alexandros Avranas","Not Available","Larissa, Greece","Quiet Life (2024)","Dark Crimes (2016)","Quiet Life","2024",91,NA,NA,"Director,Screenwriter","Movie",1
"Alexandros Avranas","Not Available","Larissa, Greece","Quiet Life (2024)","Dark Crimes (2016)","Dark Crimes","2016",NA,30,NA,"Director","Movie",1
"Alexandros Avranas","Not Available","Larissa, Greece","Quiet Life (2024)","Dark Crimes (2016)","Miss Violence","2013",81,72,NA,"Director,Screenwriter,Producer","Movie",1
"Anders Anderson","Not Available","Not Available","Stolen (2009)","Stolen (2009)","Stolen","2009",NA,39,7306,"Director,Producer","Movie",1
"Andrew Litvack","Not Available","New York, New York, USA","Stars at Noon (2022)","Merci Docteur Rey (2002)","Stars at Noon","2022",63,14,36000,"Screenwriter","Movie",1
"Andrew Litvack","Not Available","New York, New York, USA","Stars at Noon (2022)","Merci Docteur Rey (2002)","Merci Docteur Rey","2002",NA,65,19590,"Director,Screenwriter","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","Dear Comrades!","2020",93,80,NA,"Director,Screenwriter","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","Sin","2019",95,77,NA,"Director,Screenwriter","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","Paradise","2016",70,79,14873,"Director,Screenwriter,Producer","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","The Postman's White Nights","2014",89,68,NA,"Director,Screenwriter,Producer","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","The Go-Go Boys: The Inside Story of Cannon Films","2014",NA,60,NA,"Unknown (Character)","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","The Nutcracker","2010",NA,28,190562,"Director,Screenwriter,Producer","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","The Last Station","2009",71,67,6616974,"Executive Producer","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","Moscow Chill","2007",NA,49,NA,"Writer,Producer","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","Gloss","2007",NA,52,NA,"Director,Writer","Movie",1
"Andrey Konchalovskiy","Aug 20, 1937","Moscow, RSFSR, USSR","Andrei Rublev (1966)","The Nutcracker (2010)","The Lion in Winter","2003",NA,NA,NA,"Director","Movie",1
