Movie Title,Director Name,Director URL,Birthday,Birthplace,Highest Rated,Lowest Rated,Age
Staying Alive,Sylvester Stallone,https://www.rottentomatoes.com/celebrity/sylvester_stallone,"Jul 6, 1946","New York, New York, USA",Creed (2015),Staying Alive (1983),78
Bolero (1984),John Derek,https://www.rottentomatoes.com/celebrity/john_derek,"Aug 12, 1926","Hollywood, California, USA",Scandal Sheet (1952),Bolero (1984),98
Police Academy 4: Citizens on Patrol,Jim Drake,https://www.rottentomatoes.com/celebrity/jim_drake,"Dec 2, 1944",USA,Police Academy 4: Citizens on Patrol (1987),Police Academy 4: Citizens on Patrol (1987),79
Problem Child,Dennis Dugan,https://www.rottentomatoes.com/celebrity/dennis_dugan,"Sep 5, 1946","Wheaton, Illinois, USA",Smile (1975),Problem Child (1990),78
Highlander II: The Quickening,Russell Mulcahy,https://www.rottentomatoes.com/celebrity/russell_mulcahy,"Jun 23, 1953","Melbourne, Victoria, Australia",Ricochet (1991),Highlander II: The Quickening (1991),71
Return to the Blue Lagoon,William Graham,https://www.rottentomatoes.com/celebrity/william_graham,"May 15, 1926","New York, New York, USA",Change of Habit (1969),Return to the Blue Lagoon (1991),98
Folks!,Ted Kotcheff,https://www.rottentomatoes.com/celebrity/ted_kotcheff,"Apr 7, 1931","Toronto, Ontario, Canada",Wake in Fright (1971),Folks! (1992),93
Look Who's Talking Now,Tom Ropelewski,https://www.rottentomatoes.com/celebrity/tom_ropelewski,Not Available,Not Available,Loverboy (1989),Look Who's Talking Now (1993),N/A
Wagons East!,Peter Markle,https://www.rottentomatoes.com/celebrity/peter_markle,"Sep 24, 1952","Danville, Pennsylvania, USA",Bat 21 (1988),Wagons East! (1994),72
Simon Sez,Kevin Alyn Elders,https://www.rottentomatoes.com/celebrity/1064269-kevin_elders,Not Available,Not Available,Aces: Iron Eagle III (1992),Simon Sez (1999),N/A
3 Strikes,DJ Pooh,https://www.rottentomatoes.com/celebrity/dj_pooh,"Jun 29, 1969","Los Angeles, California, USA",Friday (1995),3 Strikes (2000),55
Ballistic: Ecks vs. Sever,Wych Kaosayananda,https://www.rottentomatoes.com/celebrity/wych_kaosayananda,Not Available,Thailand,Sheroes (2023),Ballistic: Ecks vs. Sever (2002),N/A
Killing Me Softly,Chen Kaige,https://www.rottentomatoes.com/celebrity/771692266,"Aug 12, 1952","Beijing, China",Yellow Earth (1984),Killing Me Softly (2002),72
Merci Docteur Rey,Andrew Litvack,https://www.rottentomatoes.com/celebrity/andrew-litvack,Not Available,"New York, New York, USA",Stars at Noon (2022),Merci Docteur Rey (2002),N/A
Pinocchio,Roberto Benigni,https://www.rottentomatoes.com/celebrity/roberto_benigni,"Oct 27, 1952","Manciano La Misericordia, Italy",Caterina in the Big City (2003),Pinocchio (2002),71
Derailed,Bob Misiorowski,https://www.rottentomatoes.com/celebrity/bob_misiorowski,Not Available,Not Available,Tombstone (1993),Derailed (2002),N/A
Gold Diggers,Gary Preisler,https://www.rottentomatoes.com/celebrity/gary_preisler,Not Available,Not Available,Elsa & Fred (2014),Gold Diggers (2003),N/A
SuperBabies: Baby Geniuses 2,Bob Clark,https://www.rottentomatoes.com/celebrity/bob_clark,"Aug 5, 1939","New Orleans, Louisiana, USA",A Christmas Story (1983),Loose Cannons (1990),85
Constellation,Jordan Walker-Pearlman,https://www.rottentomatoes.com/celebrity/jordan_walkerpearlman,"Jun 24, 1967","New York City, New York, USA",The Visit (2000),Constellation (2005),57
Redline,Andy Cheng,https://www.rottentomatoes.com/celebrity/andy-cheng,Not Available,Not Available,Delirium (2018),Delirium (2018),N/A
Scar,Jed Weintrob,https://www.rottentomatoes.com/celebrity/jed_weintrob,Not Available,Not Available,On-Line (2001),Scar (2007),N/A
One Missed Call,Éric Valette,https://www.rottentomatoes.com/celebrity/eric-valette,Not Available,Not Available,The Prey (2011),One Missed Call (2008),N/A
Homecoming,Morgan J. Freeman,https://www.rottentomatoes.com/celebrity/morgan_j_freeman,"Dec 5, 1969","Long Beach, California, USA",Finding Kendrick Johnson (2021),Homecoming (2009),54
Stolen,Anders Anderson,https://www.rottentomatoes.com/celebrity/anders_anderson,Not Available,Not Available,Stolen (2009),Stolen (2009),N/A
Transylmania,David Hillenbrand,https://www.rottentomatoes.com/celebrity/david_hillenbrand,Not Available,Not Available,National Lampoon's Dorm Daze (2003),National Lampoon's Dorm Daze (2003),N/A
Transylmania,Scott Hillenbrand,https://www.rottentomatoes.com/celebrity/scott_hillenbrand,Not Available,Not Available,National Lampoon's Dorm Daze (2003),National Lampoon's Dorm Daze (2003),N/A
The Nutcracker (2010),Andrey Konchalovskiy,https://www.rottentomatoes.com/celebrity/771484373,"Aug 20, 1937","Moscow, RSFSR, USSR",Andrei Rublev (1966),The Nutcracker (2010),87
Beneath the Darkness,Martin Guigui,https://www.rottentomatoes.com/celebrity/martin_guigui,"Jun 26, 1965","Buenos Aires, Argentina",The Unhealer (2020),Future World (2018),59
Dark Tide,John Stockwell,https://www.rottentomatoes.com/celebrity/john_stockwell,"Mar 25, 1961","Galveston, Texas, USA",Cheaters (2000),Dark Tide (2012),63
A Thousand Words,Brian Robbins,https://www.rottentomatoes.com/celebrity/brian_robbins,"Nov 22, 1963","Brooklyn, New York, USA",To All the Boys I've Loved Before (2018),A Thousand Words (2012),60
Left Behind (2014),Vic Armstrong,https://www.rottentomatoes.com/celebrity/vic-armstrong,"Oct 5, 1946","Farnham Common, Buckinghamshire, England, UK",Die Another Day (2002),Left Behind (2014),78
The Ridiculous 6,Frank Coraci,https://www.rottentomatoes.com/celebrity/frank_coraci,"Feb 3, 1966","Shirley, New York, USA",The Wedding Singer (1998),The Ridiculous 6 (2015),58
Cabin Fever (2016),Travis Zariwny,https://www.rottentomatoes.com/celebrity/travis_zariwny,Not Available,Not Available,Behind the Mask: The Rise of Leslie Vernon (2006),For the Love of Money (2012),N/A
Dark Crimes,Alexandros Avranas,https://www.rottentomatoes.com/celebrity/alexandros_avranas,Not Available,"Larissa, Greece",Quiet Life (2024),Dark Crimes (2016),N/A
The Disappointments Room,D.J. Caruso,https://www.rottentomatoes.com/celebrity/dj_caruso,"Jan 17, 1965","Norwalk, Connecticut, USA",Disturbia (2007),The Disappointments Room (2016),59
Max Steel,Stewart Hendler,https://www.rottentomatoes.com/celebrity/stewart-hendler,"Dec 22, 1978","California, USA",Sorority Row (2009),Max Steel (2016),45
Precious Cargo (2016),Max Adams,https://www.rottentomatoes.com/celebrity/max_s_adams,Not Available,Not Available,Heist (2015),Precious Cargo (2016),N/A
Stratton,Simon West,https://www.rottentomatoes.com/celebrity/simon_west_2,"Jul 17, 1961","Letchworth, Hertfordshire, England, UK",Black Hawk Down (2001),Salty (2017),63
Gotti (2018),Kevin Connolly,https://www.rottentomatoes.com/celebrity/kevin_connolly,"Mar 5, 1974","Patchogue, New York, USA",Alan & Naomi (1992),Gotti (2018),50
London Fields,Mathew Cullen,https://www.rottentomatoes.com/celebrity/mathew_cullen,Not Available,Not Available,London Fields (2018),London Fields (2018),N/A
The Queen's Corgi,Vincent Kesteloot,https://www.rottentomatoes.com/celebrity/vincent_kesteloot,Not Available,"Lille, France",Sammy 2 (2012),The Queen's Corgi (2019),N/A
The Queen's Corgi,Ben Stassen,https://www.rottentomatoes.com/celebrity/ben_stassen,Not Available,"Aubel, Belgium",Wild Safari: A South African Adventure (2005),The Queen's Corgi (2019),N/A
John Henry (2020),Will Forbes,https://www.rottentomatoes.com/celebrity/will_forbes,Not Available,Not Available,John Henry (2020),John Henry (2020),N/A
The Last Days of American Crime,Olivier Megaton,https://www.rottentomatoes.com/celebrity/olivier_megaton_155,"Aug 6, 1965","Versailles, Yvelines, France",Transporter 3 (2008),The Last Days of American Crime (2020),59
Hard Kill,Matt Eskandari,https://www.rottentomatoes.com/celebrity/matt_eskandari,Not Available,Not Available,Trauma Center (2019),Hard Kill (2020),N/A
Jeepers Creepers: Reborn,Timo Vuorensola,https://www.rottentomatoes.com/celebrity/timo_vuorensola,"Nov 29, 1979","Helsinki, Finland",Mad Heidi (2022),Jeepers Creepers: Reborn (2022),44
