Movie Title,Rotten Tomatoes URL
"""Staying Alive""",https://www.rottentomatoes.com/m/staying_alive
"""Bolero (1984)""",https://www.rottentomatoes.com/m/bolero_1984
"""Police Academy 4: Citizens on Patrol""",https://www.rottentomatoes.com/m/police_academy_4_citizens_on_patrol
"""Problem Child (1990)""",https://www.rottentomatoes.com/m/problem_child
"""Highlander 2: The Quickening (1991)""",https://www.rottentomatoes.com/m/highlander_2_the_quickening
"""Return to the Blue Lagoon (1991)""",https://www.rottentomatoes.com/m/return_to_the_blue_lagoon/
"""Folks! (1992)""",https://www.rottentomatoes.com/m/folks
"""Look Who's Talking Now (1993)""",https://www.rottentomatoes.com/m/look_whos_talking_now/
"""Wagons East! (1994)""",https://www.rottentomatoes.com/m/wagons_east
"""Simon Sez (1999)""",https://www.rottentomatoes.com/m/simon_sez
"""3 Strikes (2000)""",https://www.rottentomatoes.com/m/3_strikes
"""Ballistic: Ecks vs. Sever (2002)""",https://www.rottentomatoes.com/m/ballistic_ecks_vs_sever
"""Killing Me Softly""",https://www.rottentomatoes.com/m/killing_me_softly
"""Merci Docteur Rey (2002)""",https://rottentomatoes.com/m/merci_docteur_rey
"""Pinocchio (2002)""",https://www.rottentomatoes.com/m/1119026_pinocchio
"""Derailed""",https://www.rottentomatoes.com/m/1116741-derailed
"""National Lampoon's Gold Diggers (2004)""",https://www.rottentomatoes.com/m/national_lampoon_s_gold_diggers
"""Superbabies: Baby Geniuses 2 (2004)""",https://www.rottentomatoes.com/m/super_babies_baby_geniuses_2
"""Constellation""",https://www.rottentomatoes.com/m/constellation
"""Redline (2007)""",https://www.rottentomatoes.com/m/redline
"""Scar (2007)""",https://www.rottentomatoes.com/m/10010131_scar
"""One Missed Call""",https://www.rottentomatoes.com/m/one_missed_call
"""Homecoming""",https://www.rottentomatoes.com/m/1213377-homecoming
"""Stolen""",https://www.rottentomatoes.com/m/10012207-stolen
"""Transylmania (2009)""",https://www.rottentomatoes.com/m/transylmania
"""The Nutcracker in 3D (2010)""",https://www.rottentomatoes.com/m/nutcracker_in_3d
"""Beneath the Darkness""",https://www.rottentomatoes.com/m/beneath_the_darkness
"""Dark Tide (2012)""",https://www.rottentomatoes.com/m/dark_tide_2011
"""A Thousand Words""",https://www.rottentomatoes.com/m/a_thousand_words
"""Left Behind""",https://www.rottentomatoes.com/m/left_behind_2014/
"""The Ridiculous 6 (2015)""",https://www.rottentomatoes.com/m/the_ridiculous_6
"""Cabin Fever""",https://www.rottentomatoes.com/m/cabin_fever_2016
"""Dark Crimes (2018)""",https://www.rottentomatoes.com/m/dark_crimes
"""The Disappointments Room (2016)""",https://www.rottentomatoes.com/m/the_disappointments_room
"""Max Steel (2016)""",https://www.rottentomatoes.com/m/max_steel
"""Precious Cargo (2016)""",https://www.rottentomatoes.com/m/precious_cargo_2016
"""Stratton (2017)""",https://www.rottentomatoes.com/m/stratton
"""Gotti""",https://www.rottentomatoes.com/m/gotti_2018
"""London Fields (2018)""",https://www.rottentomatoes.com/m/london_fields
"""The Queen's Corgi (2019)""",https://www.rottentomatoes.com/m/the_queens_corgi
"""John Henry (2020)""",https://www.rottentomatoes.com/m/john_henry_2020
"""The Last Days of American Crime (2020)""",https://www.rottentomatoes.com/m/the_last_days_of_american_crime
"""Hard Kill (2020)""",https://www.rottentomatoes.com/m/hard_kill
"""Jeepers Creepers: Reborn (2022)""",https://www.rottentomatoes.com/m/jeepers_creepers_reborn
