title,year,movie_url,audience_score,critics_score,synopsis,Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,Aspect Ratio,Director Name,Sound Mix,Box Office (Gross USA),Release Date (DVD),Rerelease Date (Theaters),Creator
Armor,2024,https://www.rottentomatoes.com/m/armor,NA,NA,"Academy Award Nominee Sylvester Stallone and Jason Patric star in an action-packed thriller about the lengths one man will go to save what's left of his family and reclaim his own life. James and his son Casey are armored truck drivers tasked with delivering a suspicious package. After a violent ambush on the road, James and Casey are trapped until they discover the value of what they have been carrying and join forces to outgun and outwit their attackers.",Justin Routt,"Joel Cohen, Randall Emmett, Gwen Osborne","Adrian Speckert, Cory Todd Hughes",Lionsgate,"BondIt Media Capital, Convergence Entertainment Group",R (Violence and Language),"Action, Mystery & Thriller",English,"Nov 22, 2024, Limited","Nov 22, 2024",1h 29m,Scope (2.35:1),Sylvester Stallone,,,,,
Lost on a Mountain in Maine,2024,https://www.rottentomatoes.com/m/lost_on_a_mountain_in_maine,89,58,"Lost on a Mountain in Maine tells the inspiring true story of 12-year-old Donn Fendler, who becomes separated from his family by a fast moving storm atop a treacherous mountain. For nine days Donn fights to stay alive as he attempts to survive the unforgiving wilderness of northern Maine without food, proper clothing, or the knowledge of how bad his situation really is. His disappearance sparks a massive search effort that captures national headlines and attracts hundreds of volunteers, including his own father who fears he may never see his son again.",Andrew Boodhoo Kightlinger,"Sylvester Stallone, Braden Aftergood, Dick Boyce, Ryan Cook",Luke Paradise,Blue Fox Entertainment,Balboa Productions,PG (Thematic Elements|Language|Some Injury Images|Peril),"Kids & Family, Adventure, Drama",English,"Nov 1, 2024, Limited",,1h 38m,,Sylvester Stallone,,,,,
Sly,2023,https://www.rottentomatoes.com/m/sly_2023,87,81,"For nearly 50 years Sylvester Stallone has entertained millions with iconic characters and blockbuster franchises, from Rocky to Rambo to The Expendables. This retrospective documentary offers an intimate look at the Oscar-nominated actor-writer-director-producer, paralleling his inspirational underdog-story with the indelible characters he has brought to life.",Thom Zimny,Sean M. Stuart,,Netflix,Netflix,R (Some Language),"Documentary, Biography",English,"Oct 27, 2023, Limited","Nov 3, 2023",1h 35m,,Sylvester Stallone,Dolby Digital,,,,
Expend4bles,2023,https://www.rottentomatoes.com/m/expend4bles,70,14,"A new generation of stars join the world's top action stars for an adrenaline-fueled adventure in Expend4bles. Reuniting as the team of elite mercenaries, Jason Statham, Dolph Lundgren, Randy Couture, and Sylvester Stallone are joined for the first time by Curtis ""50 Cent"" Jackson, Megan Fox, Tony Jaa, Iko Uwais, Jacob Scipio, Levy Tran, and Andy Garcia. Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world's last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give ""new blood"" a whole new meaning.",Scott Waugh,"Kevin King Templeton, Les Weldon, Yariv Lerner, Jason Statham","Kurt Wimmer, Tad Daggerhart, Max Adams",Lionsgate,"Media Capital Technologies, Millennium Media, Campbell Grobman Films, Nu Boyana Film Studios, Dutch FilmWorks",R (Sexual Material|Language|Strong/Bloody Violence),"Action, Adventure",English,"Sep 22, 2023, Wide","Oct 13, 2023",1h 43m,Digital 2.39:1,Sylvester Stallone,,$16.2M,,,
Guardians of the Galaxy Vol. 3,2023,https://www.rottentomatoes.com/m/guardians_of_the_galaxy_vol_3,94,82,"In Marvel Studios ""Guardians of the Galaxy Vol. 3"" our beloved band of misfits are looking a bit different these days. Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",James Gunn,Kevin Feige,James Gunn,Walt Disney Pictures,"Québec Film & TV Production Tax Credit, Marvel Studios, Marvel Entertainment, Film New Zealand, Troll Court Entertainment",PG-13 (Intense Sequences of Violence|Action|Strong Language|Suggestive/Drug References|Thematic Elements),"Sci-Fi, Adventure, Action, Fantasy, Comedy",English,"May 5, 2023, Wide","Jul 7, 2023",2h 30m,,Sylvester Stallone,"Dolby Digital, Dolby Atmos",$359.0M,,,
Creed III,2023,https://www.rottentomatoes.com/m/creed_iii,95,89,"After dominating the boxing world, Adonis Creed (Michael B. Jordan) has been thriving in both his career and family life. When a childhood friend and former boxing prodigy, Damian (Jonathan Majors), resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damian -- a fighter who has nothing to lose.",Michael B. Jordan,"Irwin Winkler, Charles Winkler, William Chartoff, David Winkler, Ryan Coogler, Michael B. Jordan, Elizabeth Raposo, Jonathan Glickman, Sylvester Stallone","Keenan Coogler, Zach Baylin",United Artists Releasing,"Outlier Society, Metro-Goldwyn-Mayer (MGM), Glickmania, Chartoff-Winkler Productions, Proximity",PG-13 (Some Strong Language|Intense Sports Action|Violence),"Drama, Action",English,"Mar 3, 2023, Wide","Mar 31, 2023",1h 56m,Digital 2.39:1,Sylvester Stallone,Dolby Digital,$156.2M,,,
Samaritan,2022,https://www.rottentomatoes.com/m/samaritan_2022,71,38,"Thirteen-year-old Sam Cleary (Javon ""Wanna"" Walton) suspects that his mysterious and reclusive neighbor Mr. Smith (Sylvester Stallone) is actually a legend hiding in plain sight. Twenty years ago, Granite City's super-powered vigilante, Samaritan, was reported dead after a fiery warehouse battle with his rival, Nemesis. Most believe Samaritan perished in the fire, but some in the city, like Sam, have hope that he is still alive. With crime on the rise and the city on the brink of chaos, Sam makes it his mission to coax his neighbor out of hiding to save the city from ruin.",Julius Avery,"Sylvester Stallone, Braden Aftergood",Bragi F. Schut,,"Balboa Productions, Metro Goldwyn Mayer",PG-13 (Strong Language|Strong Violence),"Action, Fantasy, Drama, Mystery & Thriller",English,,"Aug 26, 2022",1h 39m,Scope (2.35:1),Sylvester Stallone,,,,,
Rocky IV: Rocky vs. Drago,2021,https://www.rottentomatoes.com/m/rocky_iv_rocky_vs_drago,93,72,Synopsis not found,Sylvester Stallone,,Sylvester Stallone,MGM,,,Drama,English,"Nov 11, 2021, Limited",,1h 34m,,Sylvester Stallone,,,,,
The Suicide Squad,2021,https://www.rottentomatoes.com/m/the_suicide_squad,82,90,"Welcome to hell--a.k.a. Belle Reve, the prison with the highest mortality rate in the US of A. Where the worst Super-Villains are kept and where they will do anything to get out--even join the super-secret, super-shady Task Force X. Today's do-or-die assignment? Assemble a collection of cons, including Bloodsport, Peacemaker, Captain Boomerang, Ratcatcher 2, Savant, King Shark, Blackguard, Javelin and everyone's favorite psycho, Harley Quinn. Then arm them heavily and drop them (literally) on the remote, enemy-infused island of Corto Maltese. Trekking through a jungle teeming with militant adversaries and guerrilla forces at every turn, the Squad is on a search-and-destroy mission with only Colonel Rick Flag on the ground to make them behave...and Amanda Waller's government techies in their ears, tracking their every movement. And as always, one wrong move and they're dead (whether at the hands of their opponents, a teammate, or Waller herself). If anyone's laying down bets, the smart money is against them--all of them.",James Gunn,"Peter Safran, Charles Roven",James Gunn,Warner Bros. Pictures,"DC Comics, Warner Bros., Peter Safran, Atlas Entertainment, DC Entertainment",R (Drug Use|Brief Graphic Nudity|Language Throughout|Some Sexual References|Strong Violence and Gore),"Action, Adventure, Comedy",English,"Aug 6, 2021, Wide","Aug 6, 2021",2h 12m,,Sylvester Stallone,"Dolby Digital, Dolby Atmos",$55.8M,,,
"Stallone: Frank, That Is",2020,https://www.rottentomatoes.com/m/stallone_frank_that_is,67,60,"Frank Stallone has remained one of the most versatile talents in Hollywood for over four decades. His music career has earned him three Platinum Albums, ten Gold Albums, five Gold Singles and seen him top the charts worldwide. His movie soundtracks have audiences across the globe gripped to some of the most iconic movies; including The Expendables 2, Rocky I, II and III, Rambo II, Paradise Alley, Over the Top and the Saturday Night Fever sequel Staying Alive, which earned him Golden Globe and Grammy Nominations. All the while Frank's on-screen career has seen him act in over 60 films and TV shows, including Tombstone and the cult hit Barfly. So why does Frank remain one of the least known famous faces in Hollywood? Find out as we go behind the scenes of Hollywood's elite, in this fascinating documentary, told by Frank himself and those that know him best.",Derek Wayne Johnson,"Derek Wayne Johnson, Emmett James, Frank Stallone, Chris May, David Polemeni",Derek Wayne Johnson,,Cinema 83 Documentary Films,,Documentary,English,,"Jan 5, 2021",1h 13m,,Sylvester Stallone,,,,,
