title,year,tomatometer,audience_score,box_office,credits,category,Director Name
Armor,2024,No Score Yet,No Score Yet,,Unknown (Character),Movie,Sylvester Stallone
Lost on a Mountain in Maine,2024,58,89,,Producer,Movie,Sylvester Stallone
Sly,2023,81,87,,"Self,Executive Producer",Movie,Sylvester Stallone
Expend4bles,2023,14,70,16244207,Barney Ross (Character),Movie,Sylvester Stallone
Guardians of the Galaxy Vol. 3,2023,82,94,358952096,Stakar Ogord (Character),Movie,Sylvester Stallone
Creed III,2023,89,95,156240128,Producer,Movie,Sylvester Stallone
Samaritan,2022,38,71,,"Joe (Character),Producer",Movie,Sylvester Stallone
Rocky IV: Rocky vs. Drago,2021,72,93,,"Rocky Balboa (Character),Director,Screenwriter",Movie,Sylvester Stallone
The Suicide Squad,2021,90,82,55795456,King Shark (Voice),Movie,Sylvester Stallone
"Stallone: Frank, That Is",2020,60,67,,Unknown (Character),Movie,Sylvester Stallone
Rambo: Last Blood,2019,26,81,44797324,"John Rambo (Character),Screenwriter",Movie,Sylvester Stallone
Escape Plan: The Extractors,2019,No Score Yet,13,,Ray Breslin (Character),Movie,Sylvester Stallone
Backtrace,2018,9,23,,Sykes (Character),Movie,Sylvester Stallone
Creed II,2018,83,80,115715229,"Rocky Balboa (Character),Screenwriter,Producer",Movie,Sylvester Stallone
Escape Plan 2: Hades,2018,7,15,,Ray Breslin (Character),Movie,Sylvester Stallone
Animal Crackers,2017,67,77,,Bullet-Man (Voice),Movie,Sylvester Stallone
John G. Avildsen: King of the Underdogs,2017,No Score Yet,100,,Self,Movie,Sylvester Stallone
Guardians of the Galaxy Vol. 2,2017,85,87,389804217,Stakar Ogord (Character),Movie,Sylvester Stallone
Ratchet & Clank,2016,22,42,8800908,Victor Von Ion (Voice),Movie,Sylvester Stallone
Creed,2015,95,89,109712885,"Rocky Balboa (Character),Producer",Movie,Sylvester Stallone
Reach Me,2014,4,47,,Gerald (Character),Movie,Sylvester Stallone
The Expendables 3,2014,32,48,39292022,"Barney Ross (Character),Screenwriter",Movie,Sylvester Stallone
The Go-Go Boys: The Inside Story of Cannon Films,2014,No Score Yet,60,,Unknown (Character),Movie,Sylvester Stallone
Grudge Match,2013,31,46,29802761,"Henry ""Razor"" Sharp (Character)",Movie,Sylvester Stallone
Homefront,2013,42,61,20097928,"Screenwriter,Producer",Movie,Sylvester Stallone
Escape Plan,2013,50,55,25121291,Ray Breslin (Character),Movie,Sylvester Stallone
Bullet to the Head,2012,45,39,9483821,Jimmy Bobo (James Bonomo) (Character),Movie,Sylvester Stallone
The Expendables 2,2012,68,67,85017401,"Barney Ross (Character),Screenwriter",Movie,Sylvester Stallone
Zookeeper,2011,14,41,80360866,Joe the Lion (Voice),Movie,Sylvester Stallone
The Expendables,2010,42,64,102981571,"Barney Ross (Character),Director,Screenwriter",Movie,Sylvester Stallone
